Province/State,Country/Region,Population
Andaman and Nicobar Islands,India,"380,581"
Andhra Pradesh,India,"49,506,799"
Arunachal Pradesh,India,"1,383,727"
Assam,India,"31,205,576"
Bihar,India,"104,099,452"
Chandigarh,India,"1,055,450"
Chattisgarh,India,"25,545,198"
Daman and Diu,India,"326,097"
Delhi,India,"16,787,941"
Dadra and Nagar Haveli,India,"453,229"
Goa,India,"1,458,545"
Gujarat,India,"60,439,692"
Himachal Pradesh,India,"6,864,602"
Haryana,India,"25,351,462"
Jharkhand,India,"32,988,134"
Jammu and Kashmir,India,"12,258,433"
Karnataka,India,"61,095,297"
Kerala,India,"33,406,061"
Ladakh,India,"290,492"
Lakshadweep ,India,"64,473"
Maharashtra,India,"112,374,333"
Meghalaya,India,"2,966,889"
Manipur,India,"2,855,794"
Madhya Pradesh,India,"72,626,809"
Mizoram,India,"1,097,206"
Nagaland,India,"1,978,502"
Odisha,India,"41,974,218"
Punjab,India,"27,743,338"
Puducherry,India,"1,247,953"
Rajasthan,India,"68,548,437"
Sikkim,India,"610,577"
Telangana,India,"35,193,978"
Tamil Nadu,India,"72,147,030"
Tripura,India,"3,673,917"
Uttar Pradesh,India,"199,812,341"
Uttarakhand,India,"10,086,292"
West Bengal,India,"91,276,115"
